feature,shap_importance
DEATH_EVENT,0.20692297469763304
ejection_fraction,0.14761181665237366
sex,0.0953723606274309
smoking,0.06914844872228015
anaemia,0.054938398587320345
time,0.04712530429073009
diabetes,0.04151978758738208
serum_creatinine,0.031172270459018443
platelets,0.030766729018703542
creatinine_phosphokinase,0.024391305758037052
high_blood_pressure,0.023563707313158683
serum_sodium,0.018124696621031004
