feature,mean_importance
smoking,-0.024156724581179522
ejection_fraction,-0.006598443927446263
platelets,-0.005098172307770321
serum_sodium,-0.0022767806941051518
anaemia,-0.0016210088331172433
serum_creatinine,0.004999118839033478
high_blood_pressure,0.012559511550787873
creatinine_phosphokinase,0.017093099529107557
time,0.018783445410772637
diabetes,0.022264566912271633
sex,0.03995144572929103
DEATH_EVENT,0.14463958171826768
